pan,tilt,roll,corner,x,y
0,90,0,lt,540,202
0,90,0,rt,1335,204
0,90,0,lb,536,995
0,90,0,rb,1333,1000
0,90,5,lt,577,166
0,90,5,rt,1367,239
0,90,5,lb,506,959
0,90,5,rb,1296,1033
0,90,10,lt,615,138
0,90,10,rt,1396,278
0,90,10,lb,473,918
0,90,10,rb,1257,1061
0,90,15,lt,656,111
0,90,15,rt,1423,321
0,90,15,lb,449,877
0,90,15,rb,1216,1085
0,90,20,lt,700,88
0,90,20,rt,1444,359
0,90,20,lb,426,833
0,90,20,rb,1173,1106
0,90,25,lt,746,72
0,90,25,rt,1464,407
0,90,25,lb,407,789
0,90,25,rb,1126,1126
0,90,30,lt,792,53
0,90,30,rt,1478,453
0,90,30,lb,394,742
0,90,30,rb,1078,1139
0,90,35,lt,840,45
0,90,35,rt,1489,498
0,90,35,lb,380,693
0,90,35,rb,1031,1151
0,90,40,lt,888,36
0,90,40,rt,1494,548
0,90,40,lb,375,643
0,90,40,rb,982,1157
0,90,45,lt,938,39
0,90,45,rt,1497,601
0,90,45,lb,373,597
0,90,45,rb,932,1160
60,90,0,lt,749,215
60,90,0,rt,1156,185
60,90,0,lb,746,976
60,90,0,rb,1153,1018
40,90,0,lt,646,211
40,90,0,rt,1262,189
40,90,0,lb,642,980
40,90,0,rb,1256,1011
20,90,0,lt,573,206
20,90,0,rt,1321,196
20,90,0,lb,570,986
20,90,0,rb,1319,1006
-20,90,0,lt,557,194
-20,90,0,rt,1300,211
-20,90,0,lb,555,1004
-20,90,0,rb,1299,988
-40,90,0,lt,620,188
-40,90,0,rt,1225,213
-40,90,0,lb,619,1013
-40,90,0,rb,1225,983
-60,90,0,lt,727,182
-60,90,0,rt,1120,218
-60,90,0,lb,729,1015
-60,90,0,rb,1120,978
-80,90,0,lt,862,186
-80,90,0,rt,995,222
-80,90,0,lb,866,1023
-80,90,0,rb,996,977
0,10,0,lt,555,537
0,10,0,rt,1310,537
0,10,0,lb,520,680
0,10,0,rb,1361,679
0,20,0,lt,554,470
0,20,0,rt,1310,470
0,20,0,lb,520,747
0,20,0,rb,1359,745
0,30,0,lt,553,408
0,30,0,rt,1312,408
0,30,0,lb,522,810
0,30,0,rb,1355,812
0,40,0,lt,552,353
0,40,0,rt,1315,354
0,40,0,lb,523,868
0,40,0,rb,1352,868
0,45,0,lt,550,330
0,45,0,rt,1316,330
0,45,0,lb,524,896
0,45,0,rb,1351,895
0,50,0,lt,549,304
0,50,0,rt,1319,305
0,50,0,lb,526,917
0,50,0,rb,1348,917
0,60,0,lt,546,261
0,60,0,rt,1322,265
0,60,0,lb,530,954
0,60,0,rb,1344,954
45,45,0,lt,860,334
45,45,0,rt,1425,318
45,45,0,lb,466,875
45,45,0,rb,1031,905
45,45,45,lt,1210,218
45,45,45,rt,1364,602
45,45,45,lb,560,594
45,45,45,rb,650,1014
-45,45,45,lt,659,218
-45,45,45,rt,1306,598
-45,45,45,lb,516,605
-45,45,45,rb,1229,1014
-45,45,0,lt,449,319
-45,45,0,rt,1007,335
-45,45,0,lb,851,905
-45,45,0,rb,1408,879
45,90,0,lt,670,215
45,90,0,rt,1238,188
45,90,0,lb,664,980
45,90,0,rb,1232,1014
-45,90,0,lt,646,185
-45,90,0,rt,1201,216
-45,90,0,lb,643,1011
-45,90,0,rb,1200,982
0,10,45,lt,930,510
0,10,45,rt,1497,602
0,10,45,lb,373,604
0,10,45,rb,941,711